Exxon Mobil Corp XOM
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Jun 12, 2020",48.04,48.62,45.91,47.17,"30,978,124"
,"Jun 15, 2020",45.35,47.76,44.75,47.14,"27,929,288"
,"Jun 16, 2020",49.57,49.75,47.24,48.20,"26,203,378"
,"Jun 17, 2020",48.00,48.13,46.60,46.63,"19,279,402"
,"Jun 18, 2020",46.11,47.33,45.77,46.92,"21,478,681"
,"Jun 19, 2020",48.22,48.26,45.98,45.98,"48,899,935"
,"Jun 22, 2020",45.69,46.44,45.40,46.42,"17,565,387"
,"Jun 23, 2020",46.90,47.22,46.50,46.70,"18,916,587"
,"Jun 24, 2020",45.91,45.96,44.25,44.50,"27,626,940"
,"Jun 25, 2020",44.05,45.24,43.69,45.17,"19,353,595"
,"Jun 26, 2020",44.88,44.94,43.50,43.62,"31,518,584"
,"Jun 29, 2020",43.81,44.58,43.54,44.32,"17,052,128"
,"Jun 30, 2020",43.43,44.97,43.16,44.72,"22,153,616"
,"Jul 1, 2020",44.49,45.38,43.67,43.71,"17,290,059"
,"Jul 2, 2020",44.62,45.19,43.93,44.08,"18,216,593"
,"Jul 6, 2020",44.67,45.08,43.84,44.39,"22,692,048"
,"Jul 7, 2020",43.90,44.00,43.11,43.24,"17,407,625"
,"Jul 8, 2020",43.15,43.93,42.84,43.14,"18,291,392"
,"Jul 9, 2020",42.90,43.10,41.29,41.36,"25,881,977"
,"Jul 10, 2020",41.12,42.71,41.10,42.65,"18,950,975"
,"Jul 13, 2020",42.98,43.29,42.23,42.66,"20,028,282"
,"Jul 14, 2020",42.53,44.19,42.26,44.07,"21,444,117"
,"Jul 15, 2020",45.03,45.09,44.21,44.63,"17,332,448"
,"Jul 16, 2020",44.31,44.81,43.79,44.28,"14,673,677"
,"Jul 17, 2020",44.33,44.69,43.39,43.52,"17,965,089"
,"Jul 20, 2020",43.21,43.51,42.48,42.50,"18,553,910"
,"Jul 21, 2020",43.15,45.19,43.11,44.65,"28,833,574"
,"Jul 22, 2020",44.15,44.15,43.37,43.61,"21,345,403"
,"Jul 23, 2020",43.40,43.82,43.02,43.70,"17,934,429"
,"Jul 24, 2020",43.88,44.42,43.19,43.43,"16,415,314"
,"Jul 27, 2020",43.23,44.09,42.97,44.07,"18,547,862"
,"Jul 28, 2020",43.91,44.25,43.46,43.55,"19,190,502"
,"Jul 29, 2020",43.71,44.09,43.34,44.03,"14,143,181"
,"Jul 30, 2020",43.13,43.18,41.83,41.87,"29,901,095"
,"Jul 31, 2020",41.16,42.17,40.91,42.08,"32,123,002"
,"Aug 3, 2020",42.05,42.50,41.47,42.25,"23,040,541"
,"Aug 4, 2020",42.34,43.60,42.24,43.47,"17,724,024"
,"Aug 5, 2020",44.15,44.31,43.53,43.85,"17,445,784"
,"Aug 6, 2020",43.40,43.90,43.25,43.64,"14,434,935"
,"Aug 7, 2020",43.23,43.52,42.81,43.44,"18,757,929"
,"Aug 10, 2020",43.99,44.60,43.60,44.51,"24,367,750"
,"Aug 11, 2020",45.50,46.42,44.73,44.97,"28,987,456"
,"Aug 12, 2020",44.46,44.94,43.63,44.09,"22,508,884"
,"Aug 13, 2020",43.50,43.87,42.92,43.01,"17,338,689"
,"Aug 14, 2020",42.60,43.28,42.41,43.20,"13,595,695"
,"Aug 17, 2020",43.17,43.17,42.47,42.64,"15,554,630"
,"Aug 18, 2020",42.59,43.19,42.29,42.43,"13,014,042"
,"Aug 19, 2020",42.35,42.66,41.87,41.96,"14,473,088"
,"Aug 20, 2020",41.69,41.89,41.30,41.32,"15,678,549"
,"Aug 21, 2020",41.30,41.34,40.71,41.01,"25,517,743"
,"Aug 24, 2020",41.28,42.51,41.09,42.22,"18,208,876"
,"Aug 25, 2020",41.66,42.07,40.70,40.88,"31,285,583"
,"Aug 26, 2020",40.64,40.84,40.00,40.01,"26,794,969"
,"Aug 27, 2020",40.00,40.30,39.31,39.74,"32,034,320"
,"Aug 28, 2020",39.84,40.92,39.76,40.69,"33,477,089"
,"Aug 31, 2020",40.64,40.72,39.90,39.94,"25,259,605"
,"Sep 1, 2020",39.75,39.75,39.05,39.43,"22,478,197"
,"Sep 2, 2020",39.23,39.72,38.95,39.19,"26,413,358"
,"Sep 3, 2020",39.20,40.03,38.88,39.11,"28,817,178"
,"Sep 4, 2020",39.46,39.79,38.65,39.08,"24,632,503"
,"Sep 8, 2020",38.25,38.68,37.35,38.18,"38,496,439"
,"Sep 9, 2020",38.35,38.84,37.92,37.95,"25,886,147"
,"Sep 10, 2020",38.27,38.37,36.90,37.00,"34,381,244"
,"Sep 11, 2020",37.13,37.31,36.49,36.90,"26,838,556"
,"Sep 14, 2020",36.91,37.01,36.49,36.66,"26,129,942"
,"Sep 15, 2020",36.80,37.38,36.21,36.27,"23,724,212"
,"Sep 16, 2020",36.46,38.15,36.27,37.81,"30,915,806"
,"Sep 17, 2020",37.35,37.98,36.97,37.80,"24,696,211"
,"Sep 18, 2020",37.53,37.82,36.70,37.19,"46,853,817"
,"Sep 21, 2020",36.43,36.71,35.68,36.43,"35,351,771"
,"Sep 22, 2020",36.46,36.84,35.47,35.53,"27,303,218"
,"Sep 23, 2020",35.65,35.79,34.35,34.39,"31,251,419"
,"Sep 24, 2020",34.40,34.82,33.76,34.32,"26,796,036"
,"Sep 25, 2020",34.00,34.94,33.88,34.64,"23,486,012"
,"Sep 28, 2020",35.14,35.90,35.10,35.31,"23,396,542"
,"Sep 29, 2020",35.00,35.11,33.99,34.28,"20,788,842"
,"Sep 30, 2020",34.64,34.92,34.13,34.33,"22,223,657"
,"Oct 1, 2020",33.79,34.10,32.94,33.13,"36,890,240"
,"Oct 2, 2020",32.25,33.35,32.21,32.98,"32,694,347"
,"Oct 5, 2020",33.32,33.75,33.17,33.74,"22,965,210"
,"Oct 6, 2020",34.12,34.42,33.31,33.39,"26,731,758"
,"Oct 7, 2020",33.64,33.74,33.21,33.50,"23,779,272"
,"Oct 8, 2020",33.88,35.34,33.76,35.26,"34,413,653"
,"Oct 9, 2020",35.68,35.95,34.65,34.74,"29,228,621"
,"Oct 12, 2020",34.54,34.73,34.23,34.63,"17,912,760"
,"Oct 13, 2020",34.73,34.87,34.10,34.22,"20,995,131"
,"Oct 14, 2020",34.06,34.83,34.03,34.15,"17,756,487"
,"Oct 15, 2020",33.70,34.46,33.27,34.45,"23,251,591"
,"Oct 16, 2020",34.37,34.64,33.88,34.10,"22,636,950"
,"Oct 19, 2020",34.10,34.37,33.39,33.42,"23,645,846"
,"Oct 20, 2020",33.66,33.93,33.33,33.70,"23,040,596"
,"Oct 21, 2020",33.51,33.62,33.14,33.16,"28,619,325"
